organization,transfer_payment_type,transfer_payment_name,exp_1314,exp_1415,exp_1516,exp_1617,exp_1718
Department of Transport,Contribution,Road Safety Transfer Payment Program,4440264,4442483,3048363,3487963,3268163
Department of Transport,Contribution,Transportation Association of Canada,410294,445911,432575,431922,285280
Department of Transport,Contribution,"Payments to other governments or international agencies for the operation and maintenance of airports, air navigation and airways facilities",44835,47967,43137,54628,57399
Department of Transport,Contribution,Security and prosperity partnership of North America,360492,0,0,0,0
Department of Transport,Contribution,Contribution to Support Clean Transportation Initiatives,5247655,5890807,2720615,5042883,5300390
Department of Transport,Contribution,Contribution in Support of Boating Safety,528875,930663,1167388,1327786,1343904
Department of Transport,Contribution,Labrador Coastal Airstrips Restoration Program,55e4,1600620,1e6,93e4,646723
Department of Transport,Contribution,(S) Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,60830420,61732946,62334630,63588278,64942486
Department of Transport,Contribution,Payments in support of crossing improvements approved under the Railway Safety Act,7052349,8402976,8929862,9245294,0
Department of Transport,Contribution,Contribution for the Oshawa Harbour Port Consolidation Project,748281,5899253,2497315,0,0
Department of Transport,Contribution,Contribution for the Northern Transportation Adaptation Initiative,859383,1307574,1146488,738514,841632
Department of Transport,Grant,Grant to close grade crossings,95e3,95e3,95e3,125e3,0
Department of Transport,Contribution,Contribution of the Strategic highway infrastructure program for the Intelligent transportation system,635326,0,0,0,0
Department of Veterans Affairs,Grant,Family Caregiver Relief Benefit,0,0,1290058,2123454,2822380
Department of Veterans Affairs,Grant,Retirement Income Security Benefit,0,0,315425,534102,920262
Department of Veterans Affairs,Grant,Critical Injury Benefit,0,0,7939400,2488175,1153618
Department of Veterans Affairs,Grant,(S) Veterans Insurance Actuarial Liability Adjustment,0,354187,46936,42398,65017
Department of Veterans Affairs,Grant,Grant for Commemorative Partnerships,0,654266,653113,536232,369243
Department of Veterans Affairs,Grant,(S) Returned Soldiers Insurance Actuarial Liability Adjustment,1067,1662,775,759,766
Department of Veterans Affairs,Grant,"Pensions for disability and death, including pensions granted under the authority of the Civilian Government Employees (War) Compensation Order, PC45/8848 of November 22, 1944, which shall be sub",1562918105,1473364776,1404329502,1331052207,1261223444
Department of Veterans Affairs,Grant,Career Transition Services,11684,13236,23980,19257,36593
Department of Veterans Affairs,Grant,Payments of Gallantry Awards,13749,11624,9743,8400,5582
Department of Veterans Affairs,Grant,Assistance to Canadian Veterans—Overseas District,129968,147051,108564,80875,66968
Department of Veterans Affairs,Grant,Earnings Loss and Supplementary Retirement Benefit,149391628,190693221,231917515,350002141,543520506
Department of Veterans Affairs,Grant,United Nations Memorial Cemetery in Korea,18021,19827,21535,22327,23105
Department of Veterans Affairs,Contribution,"Contributions to Veterans, under the Veterans Independence Program, to assist in defraying costs of extended health care not covered by provincial health programs",184061004,82552630,81270261,81325607,79153058
Department of Veterans Affairs,Contribution,"Contributions under the Commemorative Partnerships Program, to organizations, institutions and other levels of government, in support of projects related to the health and well-being of the veter",2140321,1648821,3066326,7847467,9281385
Department of Veterans Affairs,Grant,Housekeeping and Grounds Maintenance,245571113,280527666,271345644,268825825,265450023
Department of Veterans Affairs,Grant,Assistance in accordance with the provisions of the Assistance Fund Regulations,296665,269503,231227,186809,158884
Department of Veterans Affairs,Grant,Canadian Forces Income Support Allowance,322312,635135,892108,1111151,1456781
Department of Veterans Affairs,Grant,Disability Awards and Allowances,461366803,472571049,659960662,699964297,1621406562
Department of Veterans Affairs,Grant,Canadian Veterans Association of the United Kingdom,5e3,5e3,5e3,5e3,0
Department of Veterans Affairs,Grant,Treatment Allowances,556890,537354,401411,318734,315374
Department of Veterans Affairs,Grant,Children of Deceased Veterans Education Assistance,569658,666860,676600,756577,697021
Department of Veterans Affairs,Grant,Payments under the Flying Accidents Compensation regulations,711007,684191,681063,674488,625270
Department of Veterans Affairs,Contribution,"Contributions for the Community War Memorial Program to support the building of new, or major additions to existing cenotaphs and monuments",747598,724166,278366,0,0
Department of Veterans Affairs,Grant,Last Post Fund,8461534,8547329,905e4,9098755,912e4
Department of Veterans Affairs,Grant,War Veterans Allowances and Civilian War Allowances,8511410,8542703,7490919,6522429,6101466
Department of Veterans Affairs,Grant,Commonwealth War Graves Commission,9714969,10913493,12040538,11086868,10697195
Department of Western Economic Diversification,Grant,Grants for the Western Diversification Program,0,0,0,0,7391214
Department of Western Economic Diversification,Contribution,Contributions under the Canada 150 Community Infrastructure Program,0,0,0,35426022,55153616
Department of Western Economic Diversification,Contribution,Contributions for the Community Infrastructure Improvement Fund,25656554,0,0,0,0
Department of Western Economic Diversification,Contribution,Contributions under the Community Futures Program,29525097,26502066,29790691,28228125,26365978
Department of Western Economic Diversification,Contribution,Contributions under the Women's Enterprise Initiative,5987145,3901435,3802500,4105575,3573917
Department of Western Economic Diversification,Contribution,Contributions under the Western Diversification Program,81837602,91294174,82739434,84983794,93798745
Department of the Environment,Contribution,Contributions in support of the Low Carbon Economy Fund,0,0,0,0,7293e3
Department of the Environment,Contribution,Assessed contribution to the Minamata Convention on Mercury,0,0,0,0,184794
Department of the Environment,Contribution,Assessed contribution to the International Network for Bamboo and Rattan,0,0,0,0,35078
Department of the Environment,Contribution,Contributions to the Federation of Canadian Municipalities for the Green Municipal Fund,0,0,0,0,625e5
Department of the Environment,Contribution,Contribution to the Canada Foundation for Sustainable Development Technology Fund,0,0,6e6,17293e3,0
Department of the Environment,Grant,Grant in support of The Natural Areas Conservation Program,0,1e7,225e5,225e5,225e5
Department of the Environment,Grant,(S) Grant to the Canada Foundation for Sustainable Development Technology,0,0,337616,2290112,0
Department of the Environment,Contribution,Contributions for Inuit activities related to the Implementation of the Inuit Impact and Benefit Agreement,331440,0,0,0,0
Department of the Environment,Contribution,Contributions in support of Water Resources,1564500,989500,771e3,792500,86e4
Department of the Environment,Contribution,Contributions in support of Substances and Waste Management,1745900,1481095,1380975,1161807,1271198
Department of the Environment,Grant,(S) Nature Conservancy Canada,11207512,8792488,0,0,0
Department of the Environment,Contribution,Contributions in support of Sustainable Ecosystems,11654321,15987750,17841669,16210500,8785205
Department of the Environment,Contribution,Habitat Stewardship Contribution Program,11916645,12629243,12151876,13187733,12841337
Department of the Environment,Contribution,Assessed contribution to the Organization for Economic Co-operation and Development,118662,106782,121214,121214,110099
Department of the Environment,Contribution,Contributions in support of Biodiversity—Wildlife and Habitat,13587798,24774134,30310084,32223112,30905600
Department of the Environment,Contribution,Assessed contribution to the Convention on Wetlands of International Importance (Ramsar Convention),167074,171370,198974,190875,197051
Department of the Environment,Contribution,Assessed contribution to the Convention on International Trade to Endangered Species of Wild Fauna and Flora,194228,201771,253942,235671,217805
Department of the Environment,Contribution,Assessed Contribution in the World Meteorological Organization,2121311,2296265,2796500,2558518,2402351
Department of the Environment,Contribution,Assessed Contribution to the Commission for Environmental Cooperation,2514300,3271685,2391100,4170640,2746235
Department of the Environment,Grant,Grants for the implementation of the Montreal Protocol on substances that deplete the ozone layer,2636e3,2525717,2674256,2326122,2254462
Department of the Environment,Contribution,Contributions in support of Weather and Environmental Services for Canadians,2649230,2637889,2957059,2709069,2265044
Department of the Environment,Contribution,Contributions in support for the Science Horizons Youth Internship programs under the Career Focus Program of the federal Youth Employment Strategy,2922990,2999744,3295663,10419e3,13828184
Department of the Environment,Contribution,EcoAction Community Funding Program,4334290,4456044,4183693,4468743,4011551
Department of the Environment,Grant,Grants in support of Weather and Environmental Services for Canadians,38e3,35e3,18e3,6e3,5960
Department of the Environment,Contribution,Contributions in support of Climate Change and Clean Air,9501716,9459133,8684618,18043165,24920210
Economic Development Agency of Canada for the Regions of Quebec,Grant,Grants under the Quebec Economic Development Program,16504,140638,0,0,0
Economic Development Agency of Canada for the Regions of Quebec,Contribution,Contributions under the Quebec Economic Development Program,197447309,183582593,189898802,244818183,238142111
Economic Development Agency of Canada for the Regions of Quebec,Contribution,Contributions under the Community Futures Program,28471467,28444820,28594770,29607493,28683673
Export Development Canada,Other Transfer Payment,(S) Payments of Concessional Loans to Facilitate and Develop Trade between Canada and Foreign Countries,-460020,0,0,0,0
Export Development Canada,Other Transfer Payment,(S) Forgiveness of non-budgetary loans pursuant to Section 23 (6) of the Export Development Act,117322727,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Contribution,Contributions under the Canada 150 Community Infrastructure Program,0,0,0,18730978,65435745
Federal Economic Development Agency for Southern Ontario,Contribution,Contributions for the Advanced Manufacturing Fund,0,2972454,32592288,42835e3,34571447
Federal Economic Development Agency for Southern Ontario,Contribution,Contributions under the Economic Development Initiative—Official Languages,0,834078,979612,979612,979612
Federal Economic Development Agency for Southern Ontario,Grant,Grant to the Corporation of the City of Brantford,1461100,0,0,9640412,459e3
Federal Economic Development Agency for Southern Ontario,Contribution,Contributions under the Community Futures Program,11267696,11265751,11248597,11285992,11285992
Federal Economic Development Agency for Southern Ontario,Contribution,Contributions under the Eastern Ontario Development Program,132e5,96e5,96e5,96e5,96e5
Federal Economic Development Agency for Southern Ontario,Contribution,Contributions for Southern Ontario Prosperity Initiatives,137296695,49714017,105459447,100773855,97773898
Federal Economic Development Agency for Southern Ontario,Contribution,Contributions for the Community Infrastructure Improvement Fund,40943853,0,0,0,0
House of Commons,Contribution,Payments to Parliamentary and Procedural Associations,946920,989696,1012033,977354,1022560
Library and Archives of Canada,Contribution,Supporting the Documentary Heritage Communities Program,0,0,1483757,15e5,1482849
Library and Archives of Canada,Grant,International Federation of Library Associations and Institutions,10650,11074,11478,11436,12455
Library and Archives of Canada,Grant,International Serials Data System,26116,26318,28815,26571,31620
National Energy Board,Contribution,Participant Funding Program Contribution to encourage effective public participation ensuring that public concerns and values are taken into consideration during the National Energy Board hearing,316297,850444,3002692,794359,2476558
National Film Board,Contribution,Contributions in support of skills and content development,8e4,88250,0,0,0
National Research Council of Canada,Contribution,Contributions for the Canada Accelerator and Incubator Program,0,10623035,18198272,24341747,23967946
National Research Council of Canada,Contribution,Contributions for the Business Innovation Access Program,0,8169157,11546211,0,0
National Research Council of Canada,Contribution,Contributions to the International Astronomical Observatories Program,11340278,12154179,15406533,20991704,21903992
National Research Council of Canada,Contribution,Industrial Research Assistance Program—Contributions to Organizations,16091757,12501543,13050751,14370643,12933759
National Research Council of Canada,Contribution,Industrial Research Assistance Program—Contributions to Firms,170116708,160459185,168542673,213621977,156883967
National Research Council of Canada,Contribution,Contributions for the Digital technology pilot program,34778413,0,0,0,0
National Research Council of Canada,Contribution,Contribution to TRIUMF (Canada's National Laboratory for Particle and Nuclear Physics),443e5,45e6,50832800,53672800,54572800
National Research Council of Canada,Grant,International Affiliations,559737,559985,559998,559998,644990
National Research Council of Canada,Contribution,Payment of an assessed contribution for the Bureau International des Poids et Mesures,571197,607985,673126,561046,633181
National Research Council of Canada,Contribution,Industrial Research Assistance Program—Contributions to Youth Employment Strategy,6278713,18139209,23706342,14930212,22496291
Natural Sciences and Engineering Research Council,Grant,Canada 150 Research Chairs,0,0,0,0,1359118
Natural Sciences and Engineering Research Council,Grant,Canada First Research Excellence Fund,0,0,31234943,66506108,101820801
Natural Sciences and Engineering Research Council,Grant,Centres of Excellence for Commercialization and Research,10821538,8180493,8925237,12494569,11902676
Natural Sciences and Engineering Research Council,Grant,Canada Excellence Research Chairs,182e5,218e5,2505e4,25448e3,14816667
Natural Sciences and Engineering Research Council,Grant,College-University Idea to Innovation,2356166,2664729,1672005,0,0
Natural Sciences and Engineering Research Council,Grant,Industrial Research Chairs for Colleges,3500500,4278755,4276714,0,0
Natural Sciences and Engineering Research Council,Grant,Networks of Centres of Excellence,33430050,33430050,33430050,33430050,3159e4
Natural Sciences and Engineering Research Council,Grant,College and Community Innovation Program,40570662,40525238,40655749,52200459,52366925
Natural Sciences and Engineering Research Council,Grant,Canada Graduate Scholarships,42563232,42542644,42572667,42562444,42553759
Natural Sciences and Engineering Research Council,Grant,Business-Led Networks of Centres of Excellence,5573412,6709482,6917e3,6551e3,6096500
Natural Sciences and Engineering Research Council,Grant,Industrial R&D Internship Program,688e4,688e4,688e4,0,0
Natural Sciences and Engineering Research Council,Grant,Vanier Canada Graduate Scholarships,8275e3,8107501,8286944,8307394,8287499
Natural Sciences and Engineering Research Council,Grant,Grants and Scholarships,846733578,863030198,858143860,894566629,894799226
Office of Infrastructure of Canada,Contribution,Capacity Building for Climate Change Challenges Fund,0,0,0,738700,9326415
Office of Infrastructure of Canada,Contribution,Contributions for the Gas Tax Fund,0,0,0,30155357,0
Office of Infrastructure of Canada,Contribution,Clean Water and Wastewater Fund,0,0,0,7091039,420793815
Office of Infrastructure of Canada,Contribution,Asset Management Fund,0,0,0,783800,5793398
Office of Infrastructure of Canada,Contribution,Public Transit Infrastructure Fund,0,0,0,37169257,244294838
Office of Infrastructure of Canada,Contribution,Contributions under the Building Canada Fund-Research and Planning Component,0,0,186373,343530,236487
Office of Infrastructure of Canada,Contribution,New Building Canada Fund—Provincial-Territorial Infrastructure Component—National and Regional Projects,0,11066545,41528898,119970867,322424763
Office of Infrastructure of Canada,Contribution,New Building Canada Fund—Provincial-Territorial Infrastructure Component—Small Communities Fund,0,0,12093038,113768736,148368056
Office of Infrastructure of Canada,Contribution,New Building Canada Fund—National Infrastructure Component,0,0,3069122,15379869,3694035
Office of Infrastructure of Canada,Contribution,National Recreational Trails program,0,5e6,4990154,0,0
Office of Infrastructure of Canada,Contribution,Inuvik to Tuktoyaktuk Highway Program,0,79275e3,51375e3,57e6,635e4
Office of Infrastructure of Canada,Contribution,Contributions under the Building Canada Fund Communities Component,120382787,76338704,69630098,42626711,27008051
Office of Infrastructure of Canada,Other Transfer Payment,Provincial-Territorial Infrastructure Base Funding Program,191431e3,25e6,5e7,305e4,225e5
Office of Infrastructure of Canada,Contribution,Contributions under the Canada Strategic Infrastructure Fund,196634325,233373467,141733441,54045215,47672911
Office of Infrastructure of Canada,Other Transfer Payment,(S) Gas Tax Fund,2106864500,1973269432,1973269432,2071932904,2071932904
Office of Infrastructure of Canada,Contribution,Contributions under the Border Infrastructure Fund,28196496,20863226,17699761,0,68040
Office of Infrastructure of Canada,Contribution,Contributions under the Municipal Rural Infrastructure Fund,42337674,9410559,0,0,0
Office of Infrastructure of Canada,Contribution,Contributions under the Building Canada Fund — Strategic Research and Partnership,5e3,37713,0,0,0
Office of Infrastructure of Canada,Contribution,Contributions under the Green Infrastructure Fund,84567663,36862072,11378170,44958101,28542018
Office of Infrastructure of Canada,Contribution,Contributions under the Building Canada Fund Major Infrastructure Component,692803945,538025504,701022158,520695123,249699901
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Payment of subsidies to candidates' auditors for the 42nd general election,0,0,1407924,38271,2988
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Reimbursement of election expenses to candidates and payments of subsidies to candidates' auditors for the current year by-elections,0,0,146361,43233,994074
Office of the Chief Electoral Officer,Other Transfer Payment,"(S) Reimbursement of election expenses of candidates for the 42nd general election, paid to assigned recipient",0,0,37901787,3576996,357151
Office of the Chief Electoral Officer,Other Transfer Payment,"(S) Reimbursement of election expenses to candidates, and payments of subsidies to candidates' auditors for other general elections and by-elections",0,0,62943,199285,24902
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Reimbursement of election expenses to political parties for the 42nd general election,0,0,64610235,-3955040,0
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Subsidies to electoral district associations' auditors,0,0,865182,1308468,852326
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Reimbursement of eligible election expenses for other general elections and by-elections to candidates (political financing provision under the Canada Elections Act),0,33942,0,0,0
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Reimbursement of eligible election expenses to candidates for the 2014 by-elections (political financing provision under the Canada Elections Act),0,505004,0,0,0
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Quarterly allowances to registered eligible political parties and subsidies to electoral district associations for auditor's fee (political financing provision under the Canada Elections Act),15583211,8184963,0,0,0
Office of the Chief Electoral Officer,Other Transfer Payment,(S) Reimbursement of eligible elections expenses to candidates for the 41st General Election (political financing provision under the Canada Elections Act),157363,69295,0,0,0
Office of the Chief Electoral Officer,Other Transfer Payment,Reimbursement of election expenses to eligible candidates for the March 2012 by-elections (political financing provision under the Canada Elections Act),39858,0,0,0,0
Office of the Chief Electoral Officer,Other Transfer Payment,Reimbursement of election expenses to eligible candidates for the 2013 by-elections (political financing provision under the Canada Elections Act),582326,0,0,0,0
Office of the Chief Electoral Officer,Other Transfer Payment,"(S) Reimbursement of eligible election expenses of other general elections and by-elections, to eligible political parties and candidates",91131,0,0,0,0
"Office of the Co-ordinator, Status of Women",Grant,Women's Program—Grants to women's and other voluntary organizations for the purpose of furthering women's participation in Canadian society,14301705,14573055,13427882,1536e4,12071644
"Office of the Co-ordinator, Status of Women",Contribution,Women's Program—Contributions to women's and other voluntary organizations for the purpose of furthering women's participation in Canadian society,4731628,4460277,4857118,512e4,8758356
Office of the Governor General's Secretary,Grant,(S) Annuities payable under the Governor General's Act,545374,551361,560186,567469,647449
Office of the Public Sector Integrity Commissioner,Contribution,Contributions for access to legal advice under the Public Servants Disclosure Protection Act,34533,40638,21432,25157,48209
Offices of the Information and Privacy Commissioners of Canada,Contribution,The Personal Information Protection and Electronic Documents Act Class Contribution Program,480999,481584,468817,489416,475745
Parks Canada Agency,Contribution,Grant to the Qikiqtani Inuit Association,0,0,3e6,0,0
Parks Canada Agency,Contribution,Contributions in support of National Historic Sites Cost-Sharing Program,1065252,915289,933397,6262998,11768415
Parks Canada Agency,Contribution,Contribution for the Implementation of Canada's Copenhagen Accord near term financing commitments,1756561,0,0,0,0
Parks Canada Agency,Grant,Grant to the International Peace Garden,22700,22700,22700,22700,22700
Parks Canada Agency,Contribution,"Contributions in support of activities or projects related to national parks, national marine conservation areas, national historic sites and historic canals",3576886,5574023,4883166,4477298,6223027
Parks Canada Agency,Grant,Funding to Support the Trans Canada Trail Foundation's Fundraising Campaign,7152037,5520495,625e4,5031682,1045786
Privy Council Office,Contribution,National Inquiry into Missing and Murdered Indigenous Women and Girls,0,0,0,0,110126
Public Health Agency of Canada,Grant,Grants to individuals and organizations in support of public health infrastructure,0,0,199588,478938,200157
Public Health Agency of Canada,Grant,"Grant to graduate students, post-graduate students and Canadian post-secondary institutions to increase professional capacity and training levels in order to build an effective public health sect",0,0,25e4,0,0
Public Health Agency of Canada,Other Transfer Payment,Payments to provinces and territories to improve access to health care and treatment services to persons infected with hepatitis C through the blood system,0,497e5,4e6,0,0
Public Health Agency of Canada,Contribution,"Contributions to non-government organizations, corporations, other levels of government, post-secondary institutions and individuals to support development and creation of public health workforce",1195375,1215700,617011,0,0
Public Health Agency of Canada,Contribution,Assessed contribution to the Pan-American Health Organization,13298807,14334724,14622256,0,0
Public Health Agency of Canada,Contribution,Contributions to Canadian Blood Services and/or other designated transfusion/transplantation centres to support adverse event surveillance activities,2157880,1864732,2057709,1913206,1711430
Public Health Agency of Canada,Grant,Grant to eligible non-profit international organizations in support of their projects or programs on health,2293472,2183882,2777869,2123773,1505777
Public Health Agency of Canada,Contribution,Contribution in support of the Federal Initiative on HIV/AIDS,23772078,22708436,23019206,23048615,29069527
Public Health Agency of Canada,Grant,"Grants to individuals and organizations in support of health promotion projects in the areas of building community capacity, stimulating knowledge development and dissemination, and partnership b",25e4,524866,905998,1853586,2001628
Public Health Agency of Canada,Contribution,Contributions to incorporated local or regional non-profit Aboriginal organizations and institutions for the purpose of developing early intervention programs for Aboriginal pre-school children a,32666837,32994509,33676570,32479550,44118458
Public Health Agency of Canada,Contribution,"Contributions to individuals and organizations to support health promotion projects in the areas of building community capacity, stimulating knowledge development and dissemination, and partnersh",44286691,40956432,34815653,44338988,56681545
Public Health Agency of Canada,Contribution,"Contributions to non-profit organizations to support, on a long-term basis, the development and provision of preventative and early intervention services aimed at addressing the health and develo",84750452,81921533,84298632,81225731,81821038
Public Health Agency of Canada,Contribution,Contributions to individuals and organizations in support of public health infrastructure,961731,1220659,620378,2043683,0
Royal Canadian Mounted Police,Grant,(S) Pensions under the Royal Canadian Mounted Police Pension Continuation Act,12315745,11400805,10391783,9392163,7779758
Royal Canadian Mounted Police,Grant,To compensate members of the Royal Canadian Mounted Police for injuries received in the performance of duty,132140008,143562981,167435603,185481804,212910845
Royal Canadian Mounted Police,Contribution,Contributions to the provinces and territories and to aboriginal and/or other communities and organizations (not for profit),14485446,14472087,14230446,14460980,14470513
Royal Canadian Mounted Police,Grant,RCMP Survivor Income Plan,2686991,2014339,2062976,1988478,2336249
Royal Canadian Mounted Police,Grant,"Grant to Promote Law Enforcement through Crime Prevention, Training and Public Relations",838797,838336,771155,997877,968300
Senate,Contribution,Contributions to Universities,0,0,0,0,57e3
Senate,Contribution,Contributions to Parliamentary Associations,402207,421775,418679,415411,428814
Senate,Grant,(S) Pensions to Retired Senators,46402,46913,47664,48283,48948
Social Sciences and Humanities Research Council,Grant,Canada 150 Research Chairs,0,0,0,0,573797
Social Sciences and Humanities Research Council,Grant,Canada Excellence Research Chairs,0,0,0,125e4,14e5
Social Sciences and Humanities Research Council,Grant,Canada First Research Excellence Fund,0,0,1912756,7398817,12927180
Social Sciences and Humanities Research Council,Grant,Research Support Fund,0,128156292,340434112,368440841,368456473
Social Sciences and Humanities Research Council,Grant,Business-Led Networks of Centres of Excellence,1221206,1319241,1419e3,1477e3,1494e3
Social Sciences and Humanities Research Council,Grant,Industrial Research Chairs for Colleges,120994,120994,123036,0,0
Social Sciences and Humanities Research Council,Grant,Grants and Scholarships,245505854,251910561,257179544,278818799,276498522
Social Sciences and Humanities Research Council,Grant,Indirect Costs of Research,331624374,212403e3,0,0,0
Social Sciences and Humanities Research Council,Grant,College and Community Innovation Program,43692,25e3,25e3,174612,4514546
Social Sciences and Humanities Research Council,Grant,Centres of Excellence for Commercialization and Research,6101107,6859164,6719789,5711093,4945629
Social Sciences and Humanities Research Council,Grant,Canada Graduate Scholarships,68567976,68691764,68689226,68262198,68820804
Social Sciences and Humanities Research Council,Grant,Vanier Canada Graduate Scholarships,8286666,8016666,83e5,8231943,8234722
Social Sciences and Humanities Research Council,Grant,Networks of Centres of Excellence,8911e3,8911e3,8911e3,8911e3,877e4
Statistics Canada,Contribution,Grant to the Organisation for Economic Co-operation and Development,0,0,0,1e5,1e5
Treasury Board Secretariat,Contribution,Contributions to the Open Government Partnership,0,0,0,531560,507302
Treasury Board Secretariat,Contribution,International Public Sector Accounting Standards Board,2e5,2e5,2e5,2e5,2e5
Treasury Board Secretariat,Contribution,Organisation for Economic Co-operation and Development,3600,25e3,0,0,3e4
Treasury Board Secretariat,Other Transfer Payment,"Payments, in the nature of Workers' Compensation, in accordance with the Public Service Income Benefit Plan for Survivors of Employees Slain on Duty",322784,388297,326513,372849,316777
Treasury Board Secretariat,Other Transfer Payment,(S) Payments under the Public Service Pension Adjustment Act,4603,5708,3238,355,15823
Treasury Board Secretariat,Other Transfer Payment,Special Indemnity Plan for Spouses of Canadian Forces Attachés,4679,3533,4795,4852,6177
Treasury Board Secretariat,Contribution,Research and Policy Initiatives Assistance Program,53e3,7e4,0,0,0
